unified_id;month;hot_tub;pool
AIR36104526;2022-12;0;0
AIR36171175;2022-12;0;0
AIR36278459;2022-12;1;0
AIR36317156;2022-12;0;0
AIR36325337;2022-12;1;0
AIR36417265;2022-12;1;1
AIR36424965;2022-12;1;0
AIR36478636;2022-12;0;0
AIR36556643;2022-12;0;1
AIR36664590;2022-12;1;0
AIR36667537;2022-12;1;0
AIR36672494;2022-12;1;1
AIR36728126;2022-12;0;0
AIR36768811;2022-12;0;0
AIR36842977;2022-12;0;0
AIR37009794;2022-12;0;0
AIR37018321;2022-12;1;0
AIR37053575;2022-12;0;0
AIR37055682;2022-12;0;0
AIR37090043;2022-12;0;0
AIR37090582;2022-12;0;0
AIR37126694;2022-12;1;0
AIR37254760;2022-12;1;0
AIR37260457;2022-12;0;0
AIR37260994;2022-12;0;0
AIR3731435;2022-12;1;0
AIR37392920;2022-12;1;0
AIR37423484;2022-12;1;0
AIR37465188;2022-12;1;0
AIR37538312;2022-12;1;0
AIR3760220;2022-12;0;0
AIR37622456;2022-12;0;0
AIR37632027;2022-12;1;0
AIR37680831;2022-12;0;0
AIR37717545;2022-12;0;0
AIR37754548;2022-12;1;1
AIR37828136;2022-12;0;0
AIR37835798;2022-12;1;0
AIR37836448;2022-12;1;0
AIR37885770;2022-12;0;0
AIR37896577;2022-12;0;0
AIR37943206;2022-12;1;0
AIR37947960;2022-12;0;0
AIR37973935;2022-12;1;0
AIR38063155;2022-12;1;0
AIR38070781;2022-12;0;0
AIR3808430;2022-12;1;1
AIR38157379;2022-12;1;1
AIR38186160;2022-12;0;0
AIR38213580;2022-12;0;0
AIR38262593;2022-12;1;0
AIR38390330;2022-12;0;1
AIR38390992;2022-12;0;0
AIR38408944;2022-12;0;0
AIR38428847;2022-12;0;0
AIR38434886;2022-12;1;0
AIR38484924;2022-12;1;0
AIR38552415;2022-12;0;0
AIR38618797;2022-12;1;1
AIR38679109;2022-12;1;1
AIR38901143;2022-12;0;0
AIR38929178;2022-12;1;1
AIR38931617;2022-12;1;0
AIR39002967;2022-12;0;0
AIR39031497;2022-12;1;0
AIR39088524;2022-12;0;0
AIR39111232;2022-12;0;0
AIR39127477;2022-12;0;0
AIR39130848;2022-12;0;0
AIR39200707;2022-12;1;1
AIR39224739;2022-12;1;0
AIR39272949;2022-12;1;0
AIR39276152;2022-12;1;0
AIR39281901;2022-12;1;0
AIR39339005;2022-12;1;0
AIR39393084;2022-12;1;0
AIR39396751;2022-12;1;1
AIR39508963;2022-12;0;0
AIR39525645;2022-12;0;0
AIR39559919;2022-12;1;0
AIR39580697;2022-12;0;0
AIR39582163;2022-12;1;1
AIR39607271;2022-12;1;0
AIR39698164;2022-12;1;0
AIR39699192;2022-12;0;0
AIR39699444;2022-12;1;0
AIR39703856;2022-12;1;0
AIR39720392;2022-12;1;0
AIR39723128;2022-12;1;0
AIR39747073;2022-12;1;0
AIR39776275;2022-12;1;0
AIR39795581;2022-12;1;0
AIR39796476;2022-12;0;0
AIR39796936;2022-12;1;0
AIR39816684;2022-12;0;0
AIR39846957;2022-12;1;1
AIR39861872;2022-12;1;1
AIR39896415;2022-12;0;1
AIR39921445;2022-12;0;0
AIR39987933;2022-12;1;0
AIR40063041;2022-12;1;0
AIR4006508;2022-12;1;0
AIR4008052;2022-12;1;0
AIR40116349;2022-12;1;0
AIR40134242;2022-12;0;0
AIR40134245;2022-12;1;0
AIR40205778;2022-12;0;0
AIR40209179;2022-12;1;0
AIR40240095;2022-12;0;0
AIR40241531;2022-12;1;0
AIR4026018;2022-12;1;0
AIR40260366;2022-12;0;0
AIR40287280;2022-12;1;0
AIR40309286;2022-12;1;0
AIR40375284;2022-12;1;0
AIR40379955;2022-12;0;0
AIR40491565;2022-12;0;0
AIR40591599;2022-12;0;0
AIR40593329;2022-12;1;0
AIR40618460;2022-12;0;0
AIR40634138;2022-12;1;0
AIR40639926;2022-12;1;1
AIR40703861;2022-12;1;1
AIR40705272;2022-12;0;0
AIR40706007;2022-12;0;0
AIR40716764;2022-12;0;0
AIR40783673;2022-12;1;1
AIR40809583;2022-12;0;0
AIR4119166;2022-12;1;0
AIR4350998;2022-12;1;0
AIR4384488;2022-12;1;0
AIR4427739;2022-12;1;1
AIR4430533;2022-12;1;0
AIR4453608;2022-12;0;0
AIR4582783;2022-12;1;0
AIR4645690;2022-12;0;0
AIR4693222;2022-12;0;0
AIR4816068;2022-12;0;0
AIR4824383;2022-12;1;0
AIR5104205;2022-12;0;0
AIR5136088;2022-12;0;0
AIR5190667;2022-12;0;0
AIR523376;2022-12;0;0
AIR5325653;2022-12;1;0
AIR5696718;2022-12;1;0
AIR5969627;2022-12;0;0
AIR6278973;2022-12;1;0
AIR6279086;2022-12;0;0
AIR6279113;2022-12;1;0
AIR6279125;2022-12;0;0
AIR6451877;2022-12;1;0
AIR6481540;2022-12;0;1
AIR6564037;2022-12;1;0
AIR6656446;2022-12;1;0
AIR666691;2022-12;1;0
AIR6673353;2022-12;1;0
AIR6675761;2022-12;1;0
AIR6690593;2022-12;1;0
AIR6691376;2022-12;1;0
AIR6704191;2022-12;1;0
AIR6729193;2022-12;1;0
AIR676164;2022-12;1;0
AIR6817370;2022-12;0;0
AIR6820440;2022-12;0;0
AIR6822873;2022-12;0;0
AIR7025746;2022-12;0;0
AIR7072350;2022-12;1;0
AIR7072455;2022-12;1;0
AIR7085152;2022-12;0;0
AIR7088097;2022-12;1;0
AIR7088244;2022-12;0;0
AIR7088715;2022-12;1;0
AIR7106153;2022-12;0;0
AIR7106885;2022-12;1;0
AIR7107497;2022-12;1;0
AIR7107717;2022-12;1;0
AIR7108197;2022-12;0;0
AIR7108469;2022-12;1;0
AIR7110624;2022-12;1;0
AIR7110802;2022-12;1;1
AIR7110933;2022-12;1;0
AIR7111423;2022-12;0;0
AIR7111950;2022-12;1;0
AIR7112225;2022-12;1;0
AIR7112523;2022-12;1;0
AIR7112575;2022-12;1;0
AIR7113291;2022-12;1;0
AIR7113367;2022-12;1;0
AIR71684;2022-12;0;0
AIR7222037;2022-12;1;0
AIR7346841;2022-12;0;0
AIR7397366;2022-12;1;0
AIR7437584;2022-12;0;0
AIR7452014;2022-12;1;1
AIR7494623;2022-12;1;0
AIR7633842;2022-12;0;0
AIR7633998;2022-12;0;0
AIR7663261;2022-12;1;0
AIR7745543;2022-12;1;0
AIR7748388;2022-12;0;0
AIR7774724;2022-12;1;0
AIR7884919;2022-12;0;0
AIR8070456;2022-12;0;1
AIR808533;2022-12;1;0
AIR8087145;2022-12;0;0
AIR8090935;2022-12;0;0
AIR8102059;2022-12;0;0
AIR8107048;2022-12;1;0
AIR8116725;2022-12;0;0
AIR8151970;2022-12;0;0
AIR8189914;2022-12;0;0
AIR8320969;2022-12;0;1
AIR835126;2022-12;0;0
AIR8356115;2022-12;1;0
AIR8453390;2022-12;1;0
AIR8487685;2022-12;1;0
AIR8487701;2022-12;0;0
AIR8506725;2022-12;1;0
AIR865917;2022-12;1;1
AIR8680291;2022-12;1;0
AIR8687782;2022-12;0;0
AIR8688155;2022-12;0;0
AIR8811512;2022-12;1;1
AIR8884708;2022-12;1;0
AIR8968332;2022-12;0;0
AIR9030749;2022-12;0;0
AIR9061128;2022-12;0;0
AIR9063353;2022-12;0;0
AIR9065030;2022-12;0;0
AIR9134487;2022-12;0;0
AIR9187251;2022-12;1;0
AIR9232049;2022-12;0;1
AIR9241882;2022-12;0;0
AIR9301003;2022-12;0;0
